timestamp,open,high,low,close,volume
2017-08-28,160.1400,162.0000,159.9300,161.4700,25279674
2017-08-25,159.6500,160.5600,159.2700,159.8600,25015218
2017-08-24,160.4300,160.7400,158.5500,159.2700,19029621
2017-08-23,159.0700,160.4700,158.8800,159.9800,19198189
2017-08-22,158.2300,160.0000,158.0200,159.7800,21297812
2017-08-21,157.5000,157.8900,155.1100,157.2100,26145653
2017-08-18,157.8600,159.5000,156.7200,157.5000,27012525
2017-08-17,160.5200,160.7100,157.8400,157.8600,26925694
2017-08-16,161.9400,162.5100,160.1500,160.9500,27321761
2017-08-15,160.6600,162.2000,160.1400,161.6000,27936774
2017-08-14,159.3200,160.2100,158.7500,159.8500,21754810
2017-08-11,156.6000,158.5700,156.0700,157.4800,25943187
2017-08-10,159.9000,160.0000,154.6300,155.3200,39081017
2017-08-09,159.2600,161.2700,159.1100,161.0600,25640394
2017-08-08,158.6000,161.8300,158.2700,160.0800,35775675
2017-08-07,157.0600,158.9200,156.6700,158.8100,21870321
2017-08-04,156.0700,157.4000,155.6900,156.3900,20349532
2017-08-03,157.0500,157.2100,155.0200,155.5700,26000738
2017-08-02,159.2800,159.7500,156.1600,157.1400,69222793
2017-08-01,149.1000,150.2200,148.4100,150.0500,24725526
2017-07-31,149.9000,150.3300,148.1300,148.7300,19422655
2017-07-28,149.8900,150.2300,149.1900,149.5000,16832947
2017-07-27,153.7500,153.9900,147.3000,150.5600,32175875
2017-07-26,153.3500,153.9300,153.0600,153.4600,15172136
2017-07-25,151.8000,153.8400,151.8000,152.7400,18612649
2017-07-24,150.5800,152.4400,149.9000,152.0900,21122730
2017-07-21,149.9900,150.4400,148.8800,150.2700,24671002
2017-07-20,151.5000,151.7400,150.1900,150.3400,17053326
2017-07-19,150.4800,151.4200,149.9500,151.0200,20615419
2017-07-18,149.2000,150.1300,148.6700,150.0800,17713795
2017-07-17,148.8200,150.9000,148.5700,149.5600,23243713
2017-07-14,147.9700,149.3300,147.3300,149.0400,19961788
2017-07-13,145.5000,148.4900,145.4400,147.7700,24922788
2017-07-12,145.8700,146.1800,144.8200,145.7400,23617964
2017-07-11,144.7300,145.8500,144.3800,145.5300,18311156
2017-07-10,144.1100,145.9500,143.3700,145.0600,21030466
2017-07-07,142.9000,144.7500,142.9000,144.1800,18505351
2017-07-06,143.0200,143.5000,142.4100,142.7300,23374374
2017-07-05,143.6900,144.7900,142.7200,144.0900,20758795
2017-07-03,144.8800,145.3000,143.1000,143.5000,14258300
2017-06-30,144.4500,144.9600,143.7800,144.0200,22328979
2017-06-29,144.7100,145.1300,142.2800,143.6800,31116980
2017-06-28,144.4900,146.1100,143.1600,145.8300,21915939
2017-06-27,145.0100,146.1600,143.6200,143.7300,24423643
2017-06-26,147.1700,148.2800,145.3800,145.8200,25524661
2017-06-23,145.1300,147.1600,145.1100,146.2800,25997976
2017-06-22,145.7700,146.7000,145.1200,145.6300,18673365
2017-06-21,145.5200,146.0700,144.6100,145.8700,21064679
2017-06-20,146.8700,146.8700,144.9400,145.0100,24572170
2017-06-19,143.6600,146.7400,143.6600,146.3400,31449132
2017-06-16,143.7800,144.5000,142.2000,142.2700,49180748
2017-06-15,143.3200,144.4800,142.2100,144.2900,31348832
2017-06-14,147.5000,147.5000,143.8400,145.1600,31224203
2017-06-13,147.1600,147.4500,145.1500,146.5900,33749154
2017-06-12,145.7400,146.0900,142.5100,145.4200,71563614
2017-06-09,155.1900,155.1900,146.0200,148.9800,64176149
2017-06-08,155.2500,155.5400,154.4000,154.9900,20771367
2017-06-07,155.0200,155.9800,154.4800,155.3700,20678772
